title,output,form,model,content
"Introduction",,,,intro
"Some Concepts",,,,concepts
"Inequality",,,,inequality
"Poverty",,,,poverty
"Incentives",,,,incentives
"A Tax Benefit Model",,,,tax-benefit-intro
"Welcome to Unicoria",,,,welcome-to-unicornia
"Who is this for?",,,,roles-and-results
"Budget Constraints - Introduction",bc-output,tax-only-form,bc,bc-intro
"Budget Constraints - Adding Benefits",bc-output,benefits-only-form,bc,bc-cash-benefits
"The Main Model",main-output,main-form,bc,tax-benefit-tour
"Modelling Direct Taxation",main-output,tax-only-form,stb,tax-benefit-direct-taxation
"Modelling Benefits",main-output,benefits-only-form,stb,tax-benefit-benefits
"Modelling Spending Taxes",main-output,main-form,stb,tax-benefit-indirect-taxation
"Modelling Minimum Wages",main-output,main-form,stb,tax-benefit-minimum-wages
"You are the Finance Secretary 1: Attacking Poverty",main-output,main-form,stb,tax-benefit-package-1-poverty
"You are the Finance Secretary 2: Incentivising the Economy",main-output,main-form,stb,tax-benefit-package-2-incentives
"You are the Finance Secretary 3: A Woman- and Child- Friendly Budget",main-output,main-form,stb,tax-benefit-package-3-women-and-children
"Tax Benefit Models - Where Now?",,,,tax-benefit-extensions
